1446EN,131,,Papaverstraat,Purmerend
1446EN,141,,Papaverstraat,Purmerend
1446EN,145,,Papaverstraat,Purmerend
1446EN,147,,Papaverstraat,Purmerend
1441PD,62,,Hondsdrafstraat,Purmerend
1445CA,14,,Koperslagerstraat,Purmerend
1441ST,100,,Moerasvaren,Purmerend
1445CZ,593,,Overlanderstraat,Purmerend
1445CW,594,,Overlanderstraat,Purmerend
1445CZ,595,,Overlanderstraat,Purmerend
1445CW,596,,Overlanderstraat,Purmerend
1445CW,598,,Overlanderstraat,Purmerend
1445CZ,599,,Overlanderstraat,Purmerend
1445DA,6,,Overlanderstraat,Purmerend
1445CW,600,,Overlanderstraat,Purmerend
1445CW,602,,Overlanderstraat,Purmerend
1445CW,604,,Overlanderstraat,Purmerend
1445CW,608,,Overlanderstraat,Purmerend
1445DL,61,,Overlanderstraat,Purmerend
1445CW,610,,Overlanderstraat,Purmerend
1445CW,612,,Overlanderstraat,Purmerend
1445CW,614,,Overlanderstraat,Purmerend
1445CW,616,,Overlanderstraat,Purmerend
1445CW,618,,Overlanderstraat,Purmerend
